symbol	function description	source	confidence code	Previous.Symbols	Synonyms
POU2F3	POU class 2 homeobox 3	based on GO term	CC:1		OCT11, PLA-1, Skn-1a, Epoc-1
POU3F1	POU class 3 homeobox 1	based on GO term	CC:1	OTF6	OCT6, SCIP
POU3F2	POU class 3 homeobox 2	based on GO term	CC:1	OTF7	POUF3, BRN2, OCT7
POU3F3	POU class 3 homeobox 3	based on GO term	CC:1		BRN1, OTF8
POU3F4	POU class 3 homeobox 4	based on GO term	CC:1	DFN3	BRN4, OTF9, DFNX2
POU4F1	POU class 4 homeobox 1	based on GO term	CC:1	BRN3A	RDC-1
POU4F2	POU class 4 homeobox 2	based on GO term	CC:1	BRN3B	Brn-3b
POU4F3	POU class 4 homeobox 3	based on GO term	CC:1	DFNA15	BRN3C
POU5F1	POU class 5 homeobox 1	based on GO term	CC:1	OTF3	OCT3, Oct4, MGC22487
POU5F1B	POU class 5 homeobox 1B	based on GO term	CC:1	OTF3P1, POU5F1P1	OTF3C
POU5F2	POU domain class 5, transcription factor 2	based on GO term	CC:1		SPRM-1, FLJ25680
POU6F1	POU class 6 homeobox 1	based on GO term	CC:1		BRN5, MPOU, TCFB1
POU6F2	POU class 6 homeobox 2	based on GO term	CC:1		RPF-1
PPARA	peroxisome proliferator-activated receptor alpha	based on GO term	CC:1	PPAR	hPPAR, NR1C1
PPARD	peroxisome proliferator-activated receptor delta	based on GO term	CC:1		NUC1, NUCII, FAAR, NR1C2
PPARG	peroxisome proliferator-activated receptor gamma	based on GO term	CC:1		PPARG1, PPARG2, NR1C3, PPARgamma
PRDM1	PR domain containing 1, with ZNF domain	based on GO term	CC:1	BLIMP1	PRDI-BF1
PRDM2	PR domain containing 2, with ZNF domain	based on GO term	CC:1		RIZ, RIZ1, RIZ2, KMT8, MTB-ZF, HUMHOXY1
PRDM4	PR domain containing 4	based on GO term	CC:1		PFM1
PROP1	PROP paired-like homeobox 1	based on GO term	CC:1		
PROX1	prospero homeobox 1	based on GO term	CC:1		
PRRX1	paired related homeobox 1	based on GO term	CC:1	PMX1	PHOX1
PRRX2	paired related homeobox 2	based on GO term	CC:1		PRX2, PMX2
PTTG1	pituitary tumor-transforming 1	based on GO term	CC:1	TUTR1	PTTG, HPTTG, EAP1, securin
PURA	purine-rich element binding protein A	based on GO term	CC:1		PURALPHA, PUR1, PUR-ALPHA
PURB	purine-rich element binding protein B	based on GO term	CC:1		PURBETA
RARA	retinoic acid receptor, alpha	based on GO term	CC:1		RAR, NR1B1
RARB	retinoic acid receptor, beta	based on GO term	CC:1		HAP, NR1B2, RRB2
RARG	retinoic acid receptor, gamma	based on GO term	CC:1		RARC, NR1B3
RAX	retina and anterior neural fold homeobox	based on GO term	CC:1		RX
RAX2	retina and anterior neural fold homeobox 2	based on GO term	CC:1	RAXL1	MGC15631
RB1	retinoblastoma 1	based on GO term	CC:1	OSRC	RB
RBPJ	recombination signal binding protein for immunoglobulin kappa J region	based on GO term	CC:1	IGKJRB1, RBPSUH	SUH, IGKJRB, RBPJK, KBF2, RBP-J, CBF1
RBPJL	recombination signal binding protein for immunoglobulin kappa J region-like	based on GO term	CC:1	RBPSUHL	RBP-L, SUH, SUHL
RCAN1	regulator of calcineurin 1	based on GO term	CC:1	DSCR1	
RCOR2	REST corepressor 2	based on GO term	CC:1		
REL	v-rel reticuloendotheliosis viral oncogene homolog (avian)	based on GO term	CC:1		I-Rel, c-Rel
RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	based on GO term	CC:1	NFKB3	p65
RELB	v-rel reticuloendotheliosis viral oncogene homolog B	based on GO term	CC:1		REL-B
RERE	arginine-glutamic acid dipeptide (RE) repeats	based on GO term	CC:1	ATN1L	KIAA0458, ARP, ARG, DNB1
REXO4	REX4, RNA exonuclease 4 homolog (S. cerevisiae)	based on GO term	CC:1	XPMC2H	
RFX1	regulatory factor X, 1 (influences HLA class II expression)	based on GO term	CC:1		EF-C
RFX3	regulatory factor X, 3 (influences HLA class II expression)	based on GO term	CC:1		
RFX5	regulatory factor X, 5 (influences HLA class II expression)	based on GO term	CC:1		
RFXANK	regulatory factor X-associated ankyrin-containing protein	based on GO term	CC:1		BLS, RFX-B, ANKRA1, F14150_1, MGC138628
RFXAP	regulatory factor X-associated protein	based on GO term	CC:1		
RHOXF1	Rhox homeobox family, member 1	based on GO term	CC:1		OTEX, PEPP1
RHOXF2	Rhox homeobox family, member 2	based on GO term	CC:1		THG1, PEPP-2, PEPP2, CT107
RHOXF2B	Rhox homeobox family, member 2B	based on GO term	CC:1		
RLF	rearranged L-myc fusion	based on GO term	CC:1		ZNF292L, Zn-15L
RNF4	ring finger protein 4	based on GO term	CC:1		RES4-26, SNURF, SLX5
RORA	RAR-related orphan receptor A	based on GO term	CC:1		RZRA, ROR1, ROR2, ROR3, NR1F1
RORB	RAR-related orphan receptor B	based on GO term	CC:1		RZRB, NR1F2, ROR-BETA
RORC	RAR-related orphan receptor C	based on GO term	CC:1		RZRG, RORG, NR1F3, TOR
RUNX1	runt-related transcription factor 1	based on GO term	CC:1	AML1, CBFA2	PEBP2A2, AMLCR1
RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	based on GO term	CC:1	AML1T1, CBFA2T1	CDR, ETO, MTG8, ZMYND2
RUNX2	runt-related transcription factor 2	based on GO term	CC:1	CCD, CBFA1, CCD1	AML3, PEBP2A1, PEBP2aA1
RUNX3	runt-related transcription factor 3	based on GO term	CC:1	CBFA3	AML2, PEBP2A3
RXRA	retinoid X receptor, alpha	based on GO term	CC:1		NR2B1
RXRB	retinoid X receptor, beta	based on GO term	CC:1		NR2B2, H-2RIIBP, RCoR-1
RXRG	retinoid X receptor, gamma	based on GO term	CC:1		NR2B3
SALL1	sal-like 1 (Drosophila)	based on GO term	CC:1	TBS	Hsal1, ZNF794
SALL2	sal-like 2 (Drosophila)	based on GO term	CC:1		KIAA0360, Hsal2, ZNF795
SATB1	SATB homeobox 1	based on GO term	CC:1		
SATB2	SATB homeobox 2	based on GO term	CC:1		KIAA1034, FLJ21474
SCAND1	SCAN domain containing 1	based on GO term	CC:1		SDP1, RAZ1
SCAND2	SCAN domain containing 2 pseudogene	based on GO term	CC:1		
SCAND3	SCAN domain containing 3	based on GO term	CC:1	ZNF305P2, ZNF452	ZFP38-L, KIAA1925, FLJ31087
SCMH1	sex comb on midleg homolog 1 (Drosophila)	based on GO term	CC:1		Scml3
SCML1	sex comb on midleg-like 1 (Drosophila)	based on GO term	CC:1		
SCML2	sex comb on midleg-like 2 (Drosophila)	based on GO term	CC:1		
SCRT1	scratch homolog 1, zinc finger protein (Drosophila)	based on GO term	CC:1		DKFZp547F072, ZNF898
SEBOX	SEBOX homeobox	based on GO term	CC:1		OG9, OG9X
SF1	splicing factor 1	based on GO term	CC:1	ZNF162	ZFM1
SHOX	short stature homeobox	based on GO term	CC:1		PHOG, GCFX, SS, SHOXY
SHOX2	short stature homeobox 2	based on GO term	CC:1		SHOT, OG12X, OG12
SIM1	single-minded homolog 1 (Drosophila)	based on GO term	CC:1		bHLHe14
SIM2	single-minded homolog 2 (Drosophila)	based on GO term	CC:1	SIM	MGC119447, bHLHe15
SIX1	SIX homeobox 1	based on GO term	CC:1	DFNA23	
SIX2	SIX homeobox 2	based on GO term	CC:1		
SIX3	SIX homeobox 3	based on GO term	CC:1	HPE2	
SIX4	SIX homeobox 4	based on GO term	CC:1		AREC3
SIX5	SIX homeobox 5	based on GO term	CC:1	DMAHP	
SIX6	SIX homeobox 6	based on GO term	CC:1	OPTX2	Six9
SLC26A3	solute carrier family 26, member 3	based on GO term	CC:1	DRA, CLD	
SLC2A4RG	SLC2A4 regulator	based on GO term	CC:1		GEF, HDBP1, Si-1-2, Si-1-2-19
SLC30A9	solute carrier family 30 (zinc transporter), member 9	based on GO term	CC:1	C4orf1	HUEL, ZNT9, GAC63
SMAD1	SMAD family member 1	based on GO term	CC:1	MADH1	MADR1, JV4-1
SMAD2	SMAD family member 2	based on GO term	CC:1	MADH2	MADR2, JV18-1
SMAD3	SMAD family member 3	based on GO term	CC:1	MADH3	JV15-2, HsT17436
SMAD4	SMAD family member 4	based on GO term	CC:1	MADH4	DPC4
SMAD5	SMAD family member 5	based on GO term	CC:1	MADH5	Dwfc, JV5-1
SMAD6	SMAD family member 6	based on GO term	CC:1	MADH7, MADH6	HsT17432
SMAD7	SMAD family member 7	based on GO term	CC:1	MADH8, MADH7	
SMAD9	SMAD family member 9	based on GO term	CC:1	MADH6, MADH9	
SMARCA5	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5	based on GO term	CC:1		hSNF2H, hISWI, ISWI
SNAI3	snail homolog 3 (Drosophila)	based on GO term	CC:1	ZNF293	SMUC, Zfp293
SNAPC2	small nuclear RNA activating complex, polypeptide 2, 45kDa	based on GO term	CC:1		SNAP45, PTFdelta
SNAPC4	small nuclear RNA activating complex, polypeptide 4, 190kDa	based on GO term	CC:1		SNAP190, PTFalpha, FLJ13451
SNAPC5	small nuclear RNA activating complex, polypeptide 5, 19kDa	based on GO term	CC:1		SNAP19
SNF8	SNF8, ESCRT-II complex subunit, homolog (S. cerevisiae)	based on GO term	CC:1		EAP30, VPS22, Dot3
SOLH	small optic lobes homolog (Drosophila)	based on GO term	CC:1		CAPN15
SOX1	SRY (sex determining region Y)-box 1	based on GO term	CC:1		
SOX10	SRY (sex determining region Y)-box 10	based on GO term	CC:1		DOM, WS4, WS2E
SOX11	SRY (sex determining region Y)-box 11	based on GO term	CC:1		
SOX12	SRY (sex determining region Y)-box 12	based on GO term	CC:1	SOX22	
SOX13	SRY (sex determining region Y)-box 13	based on GO term	CC:1		Sox-13, ICA12, MGC117216
SOX15	SRY (sex determining region Y)-box 15	based on GO term	CC:1	SOX20	SOX27, SOX26
SOX18	SRY (sex determining region Y)-box 18	based on GO term	CC:1		
SOX2	SRY (sex determining region Y)-box 2	based on GO term	CC:1		
SOX21	SRY (sex determining region Y)-box 21	based on GO term	CC:1		SOX25
SOX30	SRY (sex determining region Y)-box 30	based on GO term	CC:1		
SOX4	SRY (sex determining region Y)-box 4	based on GO term	CC:1		
SOX5	SRY (sex determining region Y)-box 5	based on GO term	CC:1		L-SOX5, MGC35153
SOX6	SRY (sex determining region Y)-box 6	based on GO term	CC:1		
SOX7	SRY (sex determining region Y)-box 7	based on GO term	CC:1		
SOX8	SRY (sex determining region Y)-box 8	based on GO term	CC:1		
SOX9	SRY (sex determining region Y)-box 9	based on GO term	CC:1	CMD1, CMPD1	SRA1
SP1	Sp1 transcription factor	based on GO term	CC:1		
SP140	SP140 nuclear body protein	based on GO term	CC:1		LYSP100-B, LYSP100-A
SP2	Sp2 transcription factor	based on GO term	CC:1		KIAA0048
SP4	Sp4 transcription factor	based on GO term	CC:1		SPR-1, HF1B, MGC130008, MGC130009
SPDEF	SAM pointed domain containing ets transcription factor	based on GO term	CC:1		PDEF, bA375E1.3
SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1	based on GO term	CC:1		PU.1, SPI-A, OF, SFPI1, SPI-1
SPIB	Spi-B transcription factor (Spi-1/PU.1 related)	based on GO term	CC:1		SPI-B
SPIC	Spi-C transcription factor (Spi-1/PU.1 related)	based on GO term	CC:1		MGC40611, SPI-C
SREBF1	sterol regulatory element binding transcription factor 1	based on GO term	CC:1		SREBP1, bHLHd1, SREBP-1c
SREBF2	sterol regulatory element binding transcription factor 2	based on GO term	CC:1		SREBP2, bHLHd2
SRF	serum response factor (c-fos serum response element-binding transcription factor)	based on GO term	CC:1		MCM1
SRY	sex determining region Y	based on GO term	CC:1		TDF
ST18	suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein)	based on GO term	CC:1	ZNF387	KIAA0535
STAT1	signal transducer and activator of transcription 1, 91kDa	based on GO term	CC:1		STAT91, ISGF-3
STAT2	signal transducer and activator of transcription 2, 113kDa	based on GO term	CC:1		STAT113
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	based on GO term	CC:1		APRF
STAT4	signal transducer and activator of transcription 4	based on GO term	CC:1		
STAT5A	signal transducer and activator of transcription 5A	based on GO term	CC:1	STAT5	MGF
STAT5B	signal transducer and activator of transcription 5B	based on GO term	CC:1		
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	based on GO term	CC:1		D12S1644, IL-4-STAT
SUPT3H	suppressor of Ty 3 homolog (S. cerevisiae)	based on GO term	CC:1		SPT3, SPT3L
SUPT4H1	suppressor of Ty 4 homolog 1 (S. cerevisiae)	based on GO term	CC:1	SUPT4H	SPT4H
SUPT6H	suppressor of Ty 6 homolog (S. cerevisiae)	based on GO term	CC:1		KIAA0162, SPT6H
T	T, brachyury homolog (mouse)	based on GO term	CC:1		
TADA2A	transcriptional adaptor 2A	based on GO term	CC:1	TADA2L	ADA2, hADA2, ADA2A
TADA3	transcriptional adaptor 3	based on GO term	CC:1	TADA3L	FLJ20221, FLJ21329, ADA3, hADA3, NGG1
TAF10	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 30kDa	based on GO term	CC:1	TAF2H, TAF2A	TAFII30
TAF12	TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa	based on GO term	CC:1	TAF2J	TAFII20
TAF13	TAF13 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 18kDa	based on GO term	CC:1	TAF2K	TAFII18
TAF1A	TATA box binding protein (TBP)-associated factor, RNA polymerase I, A, 48kDa	based on GO term	CC:1		TAFI48, SL1
TAF1B	TATA box binding protein (TBP)-associated factor, RNA polymerase I, B, 63kDa	based on GO term	CC:1		TAFI63, SL1, RAF1B, RAFI63
TAF1C	TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa	based on GO term	CC:1		TAFI110, TAFI95, SL1, MGC:39976
TAF4	TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa	based on GO term	CC:1	TAF4A, TAF2C1, TAF2C	TAFII130, TAFII135
TAF4B	TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kDa	based on GO term	CC:1	TAF2C2	TAFII105
TAF5	TAF5 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 100kDa	based on GO term	CC:1	TAF2D	TAFII100
TAF5L	TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa	based on GO term	CC:1		PAF65B
TAF6	TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa	based on GO term	CC:1	TAF2E	TAFII70, TAFII80, MGC:8964, TAFII85
TAF6L	TAF6-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa	based on GO term	CC:1		PAF65A
TAF7	TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa	based on GO term	CC:1	TAF2F	TAFII55
TAL1	T-cell acute lymphocytic leukemia 1	based on GO term	CC:1	TCL5	SCL, bHLHa17
TARDBP	TAR DNA binding protein	based on GO term	CC:1		TDP-43, ALS10
TBP	TATA box binding protein	based on GO term	CC:1	GTF2D1, SCA17	TFIID
TBPL1	TBP-like 1	based on GO term	CC:1		TLP, STUD, TRF2, TLF
TBPL2	TATA box binding protein like 2	based on GO term	CC:1		TRF3, TBP2
TBR1	T-box, brain, 1	based on GO term	CC:1		
TBX1	T-box 1	based on GO term	CC:1		
TBX10	T-box 10	based on GO term	CC:1	TBX7	TBX13
TBX15	T-box 15	based on GO term	CC:1	TBX14	
TBX18	T-box 18	based on GO term	CC:1		
TBX19	T-box 19	based on GO term	CC:1		dj747L4.1, TPIT
TBX2	T-box 2	based on GO term	CC:1		
TBX20	T-box 20	based on GO term	CC:1		
TBX21	T-box 21	based on GO term	CC:1		TBLYM, T-bet
TBX22	T-box 22	based on GO term	CC:1	CPX, CLPA	
TBX3	T-box 3	based on GO term	CC:1	UMS	TBX3-ISO, XHL
TBX4	T-box 4	based on GO term	CC:1		
TBX5	T-box 5	based on GO term	CC:1	HOS	
TBX6	T-box 6	based on GO term	CC:1		
TCEA2	transcription elongation factor A (SII), 2	based on GO term	CC:1		TFIIS
TCEA3	transcription elongation factor A (SII), 3	based on GO term	CC:1		TFIIS.H
TCEAL1	transcription elongation factor A (SII)-like 1	based on GO term	CC:1		p21, pp21, SIIR, P21
TCEB1	transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)	based on GO term	CC:1		SIII
TCERG1	transcription elongation regulator 1	based on GO term	CC:1	TAF2S	CA150, Urn1
TCF12	transcription factor 12	based on GO term	CC:1		HEB, HTF4, HsT17266, bHLHb20
TCF15	transcription factor 15 (basic helix-loop-helix)	based on GO term	CC:1		EC2, PARAXIS, bHLHa40
TCF19	transcription factor 19	based on GO term	CC:1		SC1
TCF21	transcription factor 21	based on GO term	CC:1		POD1, bHLHa23
TCF25	transcription factor 25 (basic helix-loop-helix)	based on GO term	CC:1		Nulp1, KIAA1049
TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	based on GO term	CC:1		E2A, ITF1, MGC129647, MGC129648, bHLHb21, VDIR, E47
TCF4	transcription factor 4	based on GO term	CC:1		SEF2-1B, ITF2, bHLHb19, E2-2
TCF7	transcription factor 7 (T-cell specific, HMG-box)	based on GO term	CC:1		TCF-1
TCF7L1	transcription factor 7-like 1 (T-cell specific, HMG-box)	based on GO term	CC:1	TCF3	
TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box)	based on GO term	CC:1	TCF4	TCF-4
TCFL5	transcription factor-like 5 (basic helix-loop-helix)	based on GO term	CC:1		Figlb, E2BP-1, CHA, bHLHe82
TEAD1	TEA domain family member 1 (SV40 transcriptional enhancer factor)	based on GO term	CC:1	TCF13, AA	TEF-1
TEAD2	TEA domain family member 2	based on GO term	CC:1		TEF-4, ETF, TEF4
TEAD3	TEA domain family member 3	based on GO term	CC:1	TEAD5	TEF-5, ETFR-1
TEAD4	TEA domain family member 4	based on GO term	CC:1	TCF13L1	TEF-3, TEFR-1, EFTR-2, RTEF-1
TEF	thyrotrophic embryonic factor	based on GO term	CC:1		KIAA1655
TFAM	transcription factor A, mitochondrial	based on GO term	CC:1	TCF6, TCF6L2	
TFAP2A	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	based on GO term	CC:1	TFAP2, AP2TF	AP-2
TFAP2B	transcription factor AP-2 beta (activating enhancer binding protein 2 beta)	based on GO term	CC:1		AP2-B
TFAP2C	transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	based on GO term	CC:1		AP2-GAMMA, ERF1, TFAP2G, hAP-2g
TFAP2D	transcription factor AP-2 delta (activating enhancer binding protein 2 delta)	based on GO term	CC:1	TFAP2BL1	
TFAP2E	transcription factor AP-2 epsilon (activating enhancer binding protein 2 epsilon)	based on GO term	CC:1		AP2E
TFAP4	transcription factor AP-4 (activating enhancer binding protein 4)	based on GO term	CC:1		AP-4, bHLHc41
TFCP2	transcription factor CP2	based on GO term	CC:1		CP2, LSF, LBP-1C, TFCP2C
TFCP2L1	transcription factor CP2-like 1	based on GO term	CC:1		LBP-9, CRTR1
TFDP1	transcription factor Dp-1	based on GO term	CC:1		Dp-1, DRTF1, DP1
TFDP2	transcription factor Dp-2 (E2F dimerization partner 2)	based on GO term	CC:1		Dp-2
TFDP3	transcription factor Dp family, member 3	based on GO term	CC:1		HCA661, E2F-like, CT30
TFE3	transcription factor binding to IGHM enhancer 3	based on GO term	CC:1		TFEA, bHLHe33
TFEB	transcription factor EB	based on GO term	CC:1		TCFEB, bHLHe35
TFEC	transcription factor EC	based on GO term	CC:1		TCFEC, TFECL, bHLHe34
TGIF1	TGFB-induced factor homeobox 1	based on GO term	CC:1	HPE4, TGIF	
TGIF2	TGFB-induced factor homeobox 2	based on GO term	CC:1		
TGIF2LX	TGFB-induced factor homeobox 2-like, X-linked	based on GO term	CC:1		
TGIF2LY	TGFB-induced factor homeobox 2-like, Y-linked	based on GO term	CC:1		
THRA	thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)	based on GO term	CC:1	THRA1, THRA2, ERBA1	EAR-7.1/EAR-7.2, THRA3, AR7, ERBA, NR1A1
THRB	thyroid hormone receptor, beta (erythroblastic leukemia viral (v-erb-a) oncogene homolog 2, avian)	based on GO term	CC:1	ERBA2, PRTH	THRB1, THRB2, NR1A2, THR1, ERBA-BETA, GRTH
TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1	based on GO term	CC:1		TIAR
TLX1	T-cell leukemia homeobox 1	based on GO term	CC:1	TCL3, HOX11	
TLX2	T-cell leukemia homeobox 2	based on GO term	CC:1	HOX11L1	Enx, Tlx2, NCX
TLX3	T-cell leukemia homeobox 3	based on GO term	CC:1	HOX11L2	RNX
TMF1	TATA element modulatory factor 1	based on GO term	CC:1		ARA160, TMF
TP53	tumor protein p53	based on GO term	CC:1		p53, LFS1
TP63	tumor protein p63	based on GO term	CC:1	TP73L, TP53L, TP53CP	p51, SHFM4, EEC3, p63, p73L, OFC8, KET, p73H, NBP, p53CP
TP73	tumor protein p73	based on GO term	CC:1		P73
TPRX1	tetra-peptide repeat homeobox 1	based on GO term	CC:1		FLJ40321
TRERF1	transcriptional regulating factor 1	based on GO term	CC:1	BCAR2	TReP-132, HSA277276, RAPA, dJ139D8.5
TRIM22	tripartite motif-containing 22	based on GO term	CC:1		STAF50, GPSTAF50, RNF94
TRIM25	tripartite motif-containing 25	based on GO term	CC:1	ZNF147	EFP, RNF147
TRIM28	tripartite motif-containing 28	based on GO term	CC:1		TIF1B, KAP1, TF1B, RNF96
TRIM29	tripartite motif-containing 29	based on GO term	CC:1		ATDC, FLJ36085
TRPS1	trichorhinophalangeal syndrome I	based on GO term	CC:1		LGCR
TSC22D1	TSC22 domain family, member 1	based on GO term	CC:1	TGFB1I4	TSC22, MGC17597
TSC22D2	TSC22 domain family, member 2	based on GO term	CC:1		KIAA0669, TILZ4a, TILZ4b, TILZ4c
TSC22D3	TSC22 domain family, member 3	based on GO term	CC:1	DSIPI	DIP, GILZ, TSC-22R, hDIP
TSC22D4	TSC22 domain family, member 4	based on GO term	CC:1		THG-1, TILZ2
TSHZ1	teashirt zinc finger homeobox 1	based on GO term	CC:1	SDCCAG33	NY-CO-33, TSH1
TSHZ2	teashirt zinc finger homeobox 2	based on GO term	CC:1	C20orf17, ZNF218	ZABC2, OVC10-2, TSH2
TSHZ3	teashirt zinc finger homeobox 3	based on GO term	CC:1	ZNF537	KIAA1474, TSH3
TULP4	tubby like protein 4	based on GO term	CC:1		TUSP, KIAA1397
TWIST2	twist homolog 2 (Drosophila)	based on GO term	CC:1		DERMO1, Dermo-1, bHLHa39
UBN1	ubinuclein 1	based on GO term	CC:1		
UBP1	upstream binding protein 1 (LBP-1a)	based on GO term	CC:1		LBP-1a
UBTF	upstream binding transcription factor, RNA polymerase I	based on GO term	CC:1		UBF, NOR-90
UHRF1	ubiquitin-like with PHD and ring finger domains 1	based on GO term	CC:1		ICBP90, Np95, FLJ21925, RNF106
UNCX	UNC homeobox	based on GO term	CC:1		Uncx4.1
USF1	upstream transcription factor 1	based on GO term	CC:1		UEF, MLTFI, bHLHb11
USF2	upstream transcription factor 2, c-fos interacting	based on GO term	CC:1		FIP, bHLHb12
UTF1	undifferentiated embryonic cell transcription factor 1	based on GO term	CC:1		
VAV1	vav 1 guanine nucleotide exchange factor	based on GO term	CC:1	VAV	
VAX1	ventral anterior homeobox 1	based on GO term	CC:1		
VAX2	ventral anterior homeobox 2	based on GO term	CC:1		DRES93
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	based on GO term	CC:1		NR1I1
VENTX	VENT homeobox homolog (Xenopus laevis)	based on GO term	CC:1	VENTX2	HPX42B
VPS72	vacuolar protein sorting 72 homolog (S. cerevisiae)	based on GO term	CC:1	TCFL1	YL-1, YL1, Swc2
VSX1	visual system homeobox 1	based on GO term	CC:1	PPCD	PPD
VSX2	visual system homeobox 2	based on GO term	CC:1	HOX10, CHX10	RET1
WT1	Wilms tumor 1	based on GO term	CC:1	GUD	WAGR, WIT-2, AWT1
XBP1	X-box binding protein 1	based on GO term	CC:1	XBP2	
YBX1	Y box binding protein 1	based on GO term	CC:1	NSEP1	YB-1, YB1, DBPB, NSEP-1, MDR-NF1, BP-8, CSDB, CSDA2
YEATS4	YEATS domain containing 4	based on GO term	CC:1		NuBI-1, GAS41, YAF9
YY1	YY1 transcription factor	based on GO term	CC:1		NF-E1, DELTA, UCRBP, YIN-YANG-1, INO80S
ZBTB16	zinc finger and BTB domain containing 16	based on GO term	CC:1	ZNF145	PLZF
ZBTB17	zinc finger and BTB domain containing 17	based on GO term	CC:1	ZNF151, ZNF60	MIZ1, pHZ-67
ZBTB25	zinc finger and BTB domain containing 25	based on GO term	CC:1	ZNF46, C14orf51	KUP
ZBTB38	zinc finger and BTB domain containing 38	based on GO term	CC:1		FLJ35036, CIBZ, ZNF921
ZBTB48	zinc finger and BTB domain containing 48	based on GO term	CC:1	HKR3	ZNF855
ZBTB7B	zinc finger and BTB domain containing 7B	based on GO term	CC:1	ZFP67	ZBTB15, c-Krox, hcKrox, ZNF857B
ZC3H8	zinc finger CCCH-type containing 8	based on GO term	CC:1	ZC3HDC8	Fliz1
ZEB1	zinc finger E-box binding homeobox 1	based on GO term	CC:1	TCF8, PPCD3	BZP, ZEB, AREB6, NIL-2-A, Zfhep, Zfhx1a
ZEB2	zinc finger E-box binding homeobox 2	based on GO term	CC:1	ZFHX1B	KIAA0569, SIP-1, SIP1
ZFHX2	zinc finger homeobox 2	based on GO term	CC:1	ZNF409	KIAA1762, KIAA1056, ZFH-5
ZFHX3	zinc finger homeobox 3	based on GO term	CC:1	ATBF1	ZNF927
ZFHX4	zinc finger homeobox 4	based on GO term	CC:1		ZFH4, FLJ20980
ZFP36L1	zinc finger protein 36, C3H type-like 1	based on GO term	CC:1	BRF1	RNF162B, Berg36, ERF1, TIS11B, cMG1
ZFP36L2	zinc finger protein 36, C3H type-like 2	based on GO term	CC:1	BRF2	ERF2, RNF162C, TIS11D
ZFP37	zinc finger protein 37 homolog (mouse)	based on GO term	CC:1		ZNF906
ZFP42	zinc finger protein 42 homolog (mouse)	based on GO term	CC:1		REX1, ZNF754
ZFPM2	zinc finger protein, multitype 2	based on GO term	CC:1		FOG2, hFOG-2, ZNF89B
ZGLP1	zinc finger, GATA-like protein 1	based on GO term	CC:1		GLP1, GLP-1
ZGPAT	zinc finger, CCCH-type with G patch domain	based on GO term	CC:1	KIAA1847	dJ583P15.3, MGC44880, FLJ14972, ZC3HDC9, ZC3H9, GPATC6, GPATCH6, ZIP
ZHX1	zinc fingers and homeoboxes 1	based on GO term	CC:1		
ZHX2	zinc fingers and homeoboxes 2	based on GO term	CC:1		KIAA0854
ZHX3	zinc fingers and homeoboxes 3	based on GO term	CC:1	TIX1	KIAA0395
ZIC1	Zic family member 1 (odd-paired homolog, Drosophila)	based on GO term	CC:1		ZIC, ZNF201
ZIC3	Zic family member 3 (odd-paired homolog, Drosophila)	based on GO term	CC:1	HTX1	HTX, ZNF203
ZKSCAN1	zinc finger with KRAB and SCAN domains 1	based on GO term	CC:1	ZNF139, ZNF36	KOX18, PHZ-37
ZKSCAN2	zinc finger with KRAB and SCAN domains 2	based on GO term	CC:1	ZNF694	FLJ23199
ZKSCAN3	zinc finger with KRAB and SCAN domains 3	based on GO term	CC:1	ZNF306, ZNF309	Zfp47, ZF47, dJ874C20.1
ZKSCAN4	zinc finger with KRAB and SCAN domains 4	based on GO term	CC:1	ZNF307, ZNF427	p373c6.1, P1P373C6, FLJ32136
ZKSCAN5	zinc finger with KRAB and SCAN domains 5	based on GO term	CC:1	ZFP95	ZNF914
ZNF117	zinc finger protein 117	based on GO term	CC:1		HPF9, H-plk
