#symbol	mEpi_Sorted_d0	mEpi_d1	mEpi_d2	mEpi_d3	mEpi_d4	mEpi_d5	mEpi_d6	mEpi_d7	mEpi_d8	mEpi_d10	mEpi_d12	mEpi_d14	mEpi_d16	mEpi_d18	mEpi_d20	mEpi_d21
Krt7	12.4	6.01	3.78	2.99	0.43	2.99	0.45	3.73	1.18	3.9	0.73	4.31	2.96	1.29	1.28	6.52
Krt71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt73	0	0	0	0	0	0	0	0	0	1.17	0.69	0.67	0	0.82	0	0.48
Krt75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt77	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91	0.38	1.4
Krt78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64	0
Krt79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt8	150.57	132.71	59.58	34.27	3.6	3.73	4.18	3.36	0	0	0.83	3.2	0.56	0.49	4.31	6.29
Krt80	0	0	0	0	0	1.63	0	0	0	0	0	0	0.57	0	0	0
Krt81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.22	0
Krt84	0	0	0	0	0	0	0	0	0	0	1.16	0	0	0	0	0
Krt86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krt9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap1-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap1-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap1-5	0	0	0	0	0	1.87	0	0	0	0	0	0	0	0	0	0
Krtap10-10	0	0	0	0	0	0	0	1.43	0	0	0	0	0	0	0	0
Krtap11-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap12-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap13-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap16-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap17-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap19-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap19-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap19-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap19-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap19-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap19-9b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap2-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap20-2	0	0	0	2.2	0	1.81	0	0	0	0	0	0	0	0	0	0
Krtap21-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap22-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap24-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap26-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap27-1	0	0	0	0	0	0	0	3.23	0	0	0	0	0	0	0	0
Krtap3-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap3-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap3-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap31-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap31-2	0	0	0	0	0	0	0	2.08	0	0	0	0	0	0	0	0
Krtap4-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap4-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap4-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap4-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap4-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap4-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap4-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap4-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap5-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap5-4	0	0	0	0	0	0	0	1.93	0	0	0	0	0	0	0	0
Krtap5-5	0	0	0.77	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap6-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap6-5	0	0	0	1.93	0	0	0	0	0	0	0	0	0	0	0	0
Krtap7-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap8-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap9-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap9-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtap9-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtcap2	50.47	64.03	68.3	47.36	50.28	57.87	17.59	28.84	58.1	55.8	54.16	69.59	71.01	62.4	51.23	70.4
Krtcap3	3.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Krtdap	1.92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ksr1	4.22	10.19	16.97	8.52	7.87	7.98	7.03	7.58	1.41	8.67	10.55	9.91	9.85	10.1	7.41	15.46
Ksr2	1.31	0.34	0.39	0.09	2.11	2.94	3.15	10.95	4.53	18.66	15.31	11.51	7.06	14.74	8.29	13.3
Kti12	28.63	36.4	23.67	38.39	23.92	24.78	16.2	33.35	16.51	8.96	17.39	8.38	8.47	12.02	7.87	3.99
Ktn1	241.06	172.29	180.82	136.7	169.28	140.66	161.44	139.57	90.97	122.83	144.39	131.5	132.26	123.62	122.38	128.15
Kxd1	34.93	11.88	28.93	37.24	16.91	17.52	17.7	38.89	23.98	16.75	16.15	17.95	18.42	28.7	20.23	29.06
Ky	0	0.33	0.33	0.2	0.51	1.4	2.98	1.22	0.81	1.15	0.27	1.58	3.31	3.07	0.61	1.31
Kynu	1.27	28.76	7.51	5.74	0	0.7	0	0	0	0	2.74	2.63	6.26	0	0.81	0.38
L1cam	0.24	0.35	0.35	0	12.96	35.81	67.81	107.27	67.55	171.16	175.12	151.82	133.18	162.36	156.35	133.13
L1td1	441.74	498.56	15.15	6.85	0.94	0.65	0	0.65	0	0	0	0	0	0	0	0
L2hgdh	27.47	15.47	18.41	34.82	14.93	10.31	10.49	8.56	6.97	9.79	5.81	13.78	6.93	8.2	10.91	10.76
L3hypdh	6.87	9.31	9.3	17.19	11.66	11.03	2.75	9.42	10.95	8.98	12.29	10.26	6.08	7.28	16.36	10.15
L3mbtl1	0	0	0	0	0	0	0	0	0	2.31	8.22	7.4	9.98	5.52	5.28	8.3
L3mbtl2	24.75	31.77	33.05	20.91	21.92	20.43	33.04	14.71	17.43	12.69	18.15	11.09	17.31	11.54	8.19	10.36
L3mbtl3	49.25	61.68	30.03	19.99	30.57	42.59	42.51	55.3	49.99	65.95	44.58	40.86	35.07	36.26	29.75	38.5
L3mbtl4	0	0	0	0	0	0	0	0	0	0	0	1.18	2.06	0	1.36	0.42
l7Rn6	25.43	28.82	44.2	42.23	31.5	29.59	30.73	31.23	38.82	33.18	35.3	35.98	42.56	37.4	35.18	47.18
Lacc1	8.55	4.39	8.77	5.5	6.06	5.88	4.41	0.39	0	0	0.61	8.84	13.2	15.59	14.95	12.21
Lace1	1	4.27	1.07	1.78	4.42	6.86	2.49	6.84	0.88	9.02	7.14	8.02	11.23	14.1	13.21	17.19
Lactb	7.01	8.82	18.95	4.98	19.17	26.95	21.65	17.44	21.91	12.43	26.55	17.06	24.37	19.67	16.93	21.32
Lactb2	29.3	23.67	41.95	40.24	16.34	13.7	12.12	11.76	25.58	7.03	27.44	13.02	6.7	17.16	11.54	9.8
Lactbl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lad1	0	1.19	0	1.12	0	0.32	0.42	0.96	2.59	0	4.49	1.44	0	0.59	0	0
Lag3	5.28	0.45	0.51	0.33	1.88	0.96	2.53	2.83	0	1.21	2.25	3.57	0	0.88	0.55	2.06
Lage3	16.85	28.83	31.2	37.64	26.1	24.47	32	35.94	35.8	13.55	10.04	25.17	23.02	40.24	37.18	19.35
Lair1	0	0.84	0	0	0.29	0	0.5	0	0	0.4	2.34	3.46	2.02	2.72	3.55	1.29
Lalba	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lama1	6.02	20.89	77.31	34.25	86.94	81.07	24.63	28.5	10.77	15.77	14.97	18.63	16.61	10.07	12.35	20.6
Lama2	0.09	0.64	1.46	0	0.85	1.47	0.51	0.62	0.79	0.77	1.22	3.68	3.4	2.63	2.15	6.52
Lama3	0.08	0	0.09	0	0	0.55	0	0.28	0.53	3.63	1.43	2.21	0.29	1.11	0.85	1.09
Lama4	5.36	6.32	3.82	7.92	7.91	6.3	3.92	2.83	2.74	9.32	7.37	31.51	27.18	14.71	15.65	31.3
Lama5	79.17	35.05	17.98	16.31	9.19	6.6	0.87	1.08	0.87	4.72	4.43	5.02	7.47	8.57	11.28	12.55
Lamb1	105.33	127.72	135.1	53.75	75.87	107.1	3.45	4.93	5.54	13.65	11.82	42.6	45.05	33.65	20.55	51.65
Lamb2	19.21	25.45	26.37	22	38.28	32.71	16.62	15.2	12.17	26.29	29.87	43.56	47.59	44.48	67.13	94.24
Lamb3	0	1.11	0	0	0	0	0.62	0	0	0	0	0	2	0.22	1.37	0.51
Lamc1	129.52	106.75	170.75	92.51	102.37	102.8	16.34	20.67	24.89	48.78	46.57	79.99	78.69	70.88	69.81	117.73
Lamc2	13.2	17.57	16.34	7.77	9.27	11.26	0.48	0.55	0	2.18	4.03	9.71	8.74	5.29	4.48	7.14
Lamc3	0	0	0	0	0.47	1.3	0	0.49	0	0.85	6.58	4.39	1.19	1.95	1.31	3.48
Lamp1	290.11	357.11	296.52	288.99	336.32	356.49	293.21	362.12	357.79	430.12	453.21	632.45	744.91	809.11	929.93	1074.49
Lamp2	86.12	98.3	150.65	195.41	161.3	134.96	113.94	104.16	171.3	188.8	186.53	315.91	370.62	344.63	365.82	444.37
Lamp3	0	0	0	0.36	0	0	0.4	0	0	0	1.76	0	0	0	0	0
Lamp5	0	1.38	0	1.15	0.47	12.78	36.64	52.42	74.59	42.65	39.1	34.73	27.4	13.63	15.32	15.3
Lamtor1	67.78	69.45	89.19	72.7	84.51	78.54	82.4	79.11	66.35	71	75.3	84.86	104.98	102.84	108.65	99.24
Lamtor2	111.81	87.97	135.94	124.06	162.18	216.64	98.3	170.4	83.66	129.82	255.16	177.23	277.43	227.46	253.57	257.86
Lamtor3	35.82	33.43	42.46	50.64	32.44	32.11	46.88	52.1	89.97	89.34	58.24	70.72	54.19	53.83	65.53	61.72
Lamtor4	9.11	24.35	9.73	3.05	12.6	16.97	6.83	11.71	3.02	12.02	14.25	23.55	24.71	28.96	25.63	23.82
Lamtor5	35.73	27.89	22.7	15.54	22.45	19.93	39.11	35.32	92.37	37.86	15.55	36.62	53.58	24.56	53.71	16.64
Lancl1	10.07	7.98	14.67	15.26	11.56	16.04	18.18	22.5	23.54	36.28	33.16	36.01	33.96	36.37	31.12	24.34
Lancl2	27.64	40.25	27.76	24.56	44.24	55.38	58.94	83.37	55.31	115.5	85.19	94.15	69.09	60.71	61.3	74.62
Lancl3	0	1.34	0	0	0.23	3.83	6.26	6.2	0	8.81	13.81	11.87	8.05	9.29	6.08	10.79
Lao1	0	0	0	0	0	0	0	0	0	0	0	0.61	0	0	0	0
Lap3	131.52	130.84	115.25	111.2	88.97	73.79	67.18	46.75	9.38	40.36	29.93	57.04	66.81	65.8	61.5	70.94
Laptm4a	373.85	471.45	401.96	465.7	354.1	372.25	195.17	259.63	413.65	465.18	509.54	794.51	846.99	760.82	866	1000.73
Laptm4b	100.31	47.74	60.43	99.53	42.07	38.51	41.09	47.98	48.14	25.98	30.03	44.18	45.83	47.77	47.98	69.08
Laptm5	2.25	4.81	2.06	0.86	0.36	1.47	0	0	0	0	0	0	0	0	0	0
Large	12.72	15.79	31.78	24.96	34.69	31.51	33.37	25.95	42.83	53.06	45.89	44.23	44.36	48.85	41.49	45.84
Larp1	242.85	146.17	124.88	98.99	70.11	79.61	63.65	62.42	31.19	60.48	54.12	59.09	50.87	53.75	46.33	59.8
Larp1b	7.39	18.43	18.94	13.86	10.36	9.6	12.55	7.88	3.92	14.85	14.97	8.49	15.44	18.26	14.34	15.76
Larp4	166.07	190.69	177.14	171.78	94.45	82.07	89.2	65.94	47.03	70.42	74.49	64.32	54.76	62.49	48.3	56.9
Larp4b	123.44	111.02	134.16	128.93	103.61	83.91	82.04	84.86	67.24	124.25	122.94	116.34	110.73	111.32	86.55	97.51
Larp6	0	1.1	0.37	0	0	1.57	2.57	5.09	0	9.81	26.96	18.31	31.4	29.04	11.34	35.4
Larp7	177.04	96.82	112.92	78.92	110.6	108.41	130.42	81.04	84.71	39	44.67	44.58	28.5	37.81	34.25	53.79
Lars	128.52	158.93	189.46	108.02	106.87	86.68	85.84	78.01	37.01	57.32	49.84	56.59	51.57	50.59	38.04	55.03
Lars2	6121.76	8291.85	10138.16	9661.35	9539.48	8773.72	13316.39	10734.9	10510.34	10110.7	11433.76	8360.38	11698.42	10094.63	11216.92	14720.23
Las1l	75.32	71.24	79.14	59.1	73.25	48.48	52.64	47.94	42.12	24.92	39.53	45.88	32.94	39.71	23.64	25.21
Lasp1	52.26	83.34	63.59	28.41	52.11	60.73	49.78	58.39	80.99	99.73	92.63	106.72	97.09	100.78	102.55	109.24
Lat	0	0	0	0	0	0.78	0	0	0	0	0	0	0	0	0	0
Lat2	3.44	0.61	1.22	0	0	0.66	3.44	4.58	0	0.86	0	0	3.45	0	0	2.12
Lats1	29.04	24.99	28.29	24.08	39.37	49	58.1	62.58	45.58	75.57	63.46	67.45	40.68	49.69	37.88	41.92
Lats2	27.33	39.58	43.47	27.92	49.29	41.84	13.69	16.48	12.58	14.49	14.9	16.84	17.77	17.82	12.94	25.63
Lax1	0	0	0	0	0	0	0	0.4	0.94	0.53	0.76	1.22	0	0	0.93	0
Layn	3.76	5.02	2.01	0.63	4.16	1.08	0	0	0	2.83	0	6.48	6.8	13.94	9.9	18.5
Lbh	30.33	20.97	55.12	34.31	77.51	117.95	155.98	226.54	220.63	254.14	176.77	116.85	91.63	85.53	54.44	89.4
Lbp	0.68	0	1.42	2.22	0	0	0	0.38	0	0	2.67	2.87	12.8	10.26	24.54	56.24
Lbr	161.45	195.02	193.81	202.62	119.49	103.6	128.81	79.66	43.02	24.06	25.6	24.67	20.37	10.44	8.39	9.82
Lbx1	0	0	0	0	2.99	11.6	24.27	34.68	27.77	22.36	25.93	3.49	1.22	6.43	3.57	0.41
Lbx2	0	0	0	0	4.61	0	0	0	0	0	0	0	1.26	0	0	0
Lca5	16.75	8.41	14.49	9.22	7.61	10.56	4.72	11.68	12.79	12.74	23.24	13.89	11.87	12.23	9.11	15.66
Lca5l	0.53	0	0	0.35	0	0.6	0	0.6	0	0	1.42	1.36	0	5.31	5.59	3.24
Lcat	0	0	0	0.84	4.87	5.04	0	0.72	0	0	4.49	3.25	24.99	13.98	35.76	32.47
Lce1a1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce1a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce1d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce1e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce1f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce1g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce1h	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce1i	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce1j	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce1k	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce1l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce1m	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce3c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce3d	0	0	0	0	0	0	0	0	0	0	2.76	0	0	0	0	0
Lce3e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce3f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce6a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lck	5.65	6.91	3.88	5.41	4.47	1.85	0	0.46	4.83	4.87	14.44	9.05	7.3	11.55	3.21	7.95
Lclat1	15.09	12.95	14.33	9.74	10.1	11.11	10.62	12.14	8.17	17.41	24.99	25.69	28.98	36.13	20.97	24.76
Lcmt1	74.46	75.69	82.84	66.83	78.33	89.62	91.37	97.77	154.5	146.59	152.99	167.6	141	125.21	121.41	93.93
Lcmt2	13.79	2.12	6.36	16.56	10.67	5.5	7.92	18.74	21.05	13.66	11.63	14.34	7.01	2.13	7.09	6.96
Lcn10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lcn11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lcn12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lcn2	0	3.97	0	0	0	0	0	0	0	0	0	0	0	0	7.38	13.72
Lcn3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lcn4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lcn5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lcn6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lcn8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lcn9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lcor	3.21	3.05	8.56	3.83	25.28	27.41	37.19	46.09	50.01	39.27	26.49	9.53	7.96	5.67	6.14	9.66
Lcorl	12.99	4.16	13.29	21.59	32.76	27.5	34.83	42.77	79.79	67.79	77.46	52.42	37.39	45.29	25.3	29.26
Lcp1	1.95	8.81	2.09	0.29	3.6	0.25	0.99	0.74	0	0.33	1.18	0	0.8	0.23	0	0
Lcp2	0	0	0	0.34	0.27	0	0.34	0	0	0	0.89	0.86	0	0.52	0	0.61
Lct	0	0	0	0	0	0	0	0.15	0	0	0	0.7	0.65	0	0	0
Lctl	0	0	0.41	0	0	0	0	0	0	0	0	0	0.46	0.82	0	0.47
Ldb1	84.2	77.21	87.11	82.48	109.39	123.63	116.73	132.94	131.37	118.88	69.08	54.92	36.88	41.92	39.97	44
Ldb2	7.4	5.47	0.72	9.47	0	1.54	1.01	4.61	6.25	21.3	32.48	30.15	40.56	32.43	35.63	31.05
Ldb3	1.03	1.63	0.55	0.46	0.57	0.2	0	0	0	0.52	2.45	2.97	0.21	3.81	2.27	0
Ldha	1011.31	978.64	963.46	1792.87	658.99	397.47	621.43	179.65	348.69	269.68	711.8	654.4	945.16	816	1085.25	705.72
Ldhb	123.51	150.08	56.65	42.48	226.17	246.91	274.45	315.59	402.86	266.14	234.78	303.17	336.87	383.74	408.42	526.11
Ldhc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ldhd	0	0	0	0	0	0	0	0	0	0	0	0	0	1.95	0.49	2.26
Ldlr	60.59	87.99	103.88	66.25	42.89	41.82	52.6	33.37	21.96	19.38	23.32	19.63	16.39	14.21	12.64	15.6
Ldlrad1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ldlrad2	0	0	0	0	0	0	0	0	0	0	0	0	0	4.33	0	0
Ldlrad3	63.84	53.48	59	59.86	86.86	105.94	115.51	102.46	101.04	93.47	87.37	79.31	58.44	59.91	53.52	62.59
Ldlrad4	20.45	2.87	6.09	0	3.34	3.84	0	0	4.01	8.09	15.59	31.2	29.92	21.28	15.98	45.39
Ldlrap1	11.63	7.15	5.82	6.31	4.66	1.99	1.86	1.41	0	0.75	0.89	1.28	1.19	1.84	0.66	3.66
Ldoc1	0	2.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ldoc1l	5.64	3.22	3.42	3.78	5.2	7.11	8.46	8.81	4.75	19.28	15.81	16.85	14.51	16.34	9.46	19.44
Leap2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lect1	0	0	0	0	0.65	3.37	5.29	0.67	0	0	3.15	5.06	7.08	15.56	38.89	33.26
Lect2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lef1	13.76	77.37	22.17	18.54	5.24	3.99	6.71	0.55	0	1.87	0.08	3	0.88	0.77	0.48	2.06
Lefty1	501.67	6.39	0.55	3.48	0	0	0	0	0	0	0	0	0	0	0	0
Lefty2	1165.04	0.54	0.72	1.36	0	0	0.51	2.41	0	2.56	0.6	3.49	0.41	1.07	1.79	0
Lekr1	5.43	1.82	3.99	2.28	4.51	5.84	4.07	5.43	8.57	14.34	20.23	19.67	15.13	6.46	7.62	9.23
Lelp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lemd1	6.05	0	0	1.16	1.91	0.99	7.77	5.92	0	2.61	18.54	8.94	5.21	7.32	8.01	1.06
Lemd2	12.88	14.81	15.13	15.97	17.1	29.16	16.9	27.96	11.55	28.64	19.58	32.19	23.68	27.63	28.56	35.27
Lemd3	33.15	27.2	11.81	9.88	30.48	34.99	51.29	35.28	37.05	48.66	40.47	40.81	35.53	30.67	31.35	32.17
Lenep	0	2.75	0	1.72	0	1.47	0	0	0	0	4.6	11.08	0	0	1.7	0
Leng1	20.33	18.93	29.37	16.66	18.34	35.84	19.2	30.56	7.5	18.73	17.51	18.82	20.89	25.94	17.45	25.49
Leng8	74.5	34.35	39.89	28.63	40.96	49.91	57.08	52.89	40.71	62.95	67.07	39.9	19.86	24.19	21.59	14.65
Leng9	0.5	0.53	0.53	1.33	2.75	1.14	1.49	2.84	0	4.49	1.78	6.85	3	3.16	1.32	6.12
Leo1	104.61	85.34	80.35	52.21	78.18	91.06	77.29	77.67	50.21	54.68	56.68	45.41	54.33	67.56	70.77	90.69
Lep	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lepr	3.03	1.07	1.58	1.1	0.18	0.84	0	0.51	0.97	1.11	1.24	9.95	10.44	6.51	7.05	33.11
Lepre1	71.95	46.54	62.33	53.19	74.38	68.57	18.44	32.48	19.66	46.86	42	60.09	53.9	38.27	43.55	56.43
Leprel1	13.14	17.16	63.83	56.41	24.18	30.9	4.96	1.16	0.67	7.29	3.16	4.16	3.65	5.34	5.04	8.13
Leprel2	3.32	9.11	8.32	13.68	6.2	10.15	9.88	6.46	10.57	14.18	9.93	20.64	19.12	20.87	15.69	17.48
Leprel4	21.13	17.67	18.47	7.21	14.46	9.69	6.92	5.27	4.59	11.01	30.24	23.18	32.9	18.32	33.07	26.96
Leprot	43.53	57.31	70.54	63.06	46.6	40.6	41.64	49.22	57.83	66.36	63.32	56.9	72.46	72.5	83.62	67.05
Leprotl1	20.29	20.46	23.54	34.2	34.34	41.22	47.38	60.31	93.2	63.38	77.26	51.47	35.66	42.09	29.94	52.81
Letm1	24.6	31.21	24.1	21.78	27.93	26.04	19.87	28.84	18.23	34.48	35.26	26.37	41.46	42.62	41.35	42.32
Letm2	3.99	1.28	2.56	0.54	3.09	1.83	2.39	4.11	0	4.21	5.71	2.75	6.74	8.88	6.87	8.35
Letmd1	10.37	3.46	18	13.03	36.22	35.66	41.8	46.28	55.51	45.42	38.82	34.07	35.16	40.51	33.03	25.12
Lfng	9.53	28.23	27.41	28.5	25.97	29.42	45.08	23.88	18.99	21	18.36	45.49	30.06	35.74	22.33	17.6
Lgals1	435.17	362.77	303.13	85.8	297.51	377.92	52.79	29.26	52.42	77.19	55.32	130.53	154.35	167.29	151.12	274.39
Lgals12	0	0	0	0	0	0	0	0	0	0	0	0.53	0	1.29	0.42	0
Lgals2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lgals3	1.78	8.88	7.61	0	3.94	2.04	0	0	0	0.89	1.06	0	2.86	6.29	7.86	7.3
Lgals3bp	20.82	11.13	1.53	4.81	2.78	2.06	0	0.82	0.48	1.62	1.28	8.66	9.96	27.77	21.86	37.99
Lgals4	0.67	0	0	1.8	0	1.54	0	0	0	0	0	0	0	0.71	0	0
Lgals7	0	0	0	0	0	3.9	0	1.3	0	0	0	0	0	0	0	0
Lgals8	3.89	5.44	5.75	6.82	5.96	9.26	13.45	4.44	4.37	22.54	40.11	37.11	35.34	40.24	46.33	50.06
Lgals9	4.43	3.55	2.96	2.23	0	3.17	0	1.84	0	3.34	0.99	19.07	9.34	10.55	12.45	18.39
Lgalsl	47.11	24.66	27.29	26.6	32.39	25.59	29.75	33.44	50.4	74.02	97.57	94.46	104.36	107.21	106.05	77.52
Lgi1	0.39	0.63	2.51	0.79	1.73	2.47	0.88	6.25	3.89	12.96	27.27	33.35	28.09	27.96	37.52	38.97
Lgi2	8.59	3.22	3.67	5.19	4.76	4.93	11.6	13.26	2.28	13.61	14.6	23.7	19.69	24.14	12.52	24.86
Lgi3	0	0	0	0	0	0.3	0	6.89	15.68	36.38	43.15	33.9	43.01	35.02	30.21	63.59
Lgi4	0.21	0	0	0.28	3.2	3.07	1.24	0	0.82	0	0	0.36	1.99	3.5	10.38	11.68
Lgmn	39.15	45.93	48.58	47.98	27.49	37.17	32.83	25.5	31.32	62.84	84.31	86.36	108.14	100.38	117.07	111.93
Lgr4	91.22	62.05	110.63	118.33	129.89	120.05	175.74	135.44	115.06	82.77	48.5	53.26	49.35	49.29	27.64	56.44
Lgr5	18.44	1.76	0.79	0.52	0	3.73	10.92	8.28	10.15	4.09	3.43	2.27	2.38	2.11	3.82	0.44
Lgr6	0.23	0.49	0	0	1.02	0	0	0	0	0	0	1.98	0	1.46	1.22	0
Lgsn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lhb	0	0	0	0	0	0	0	0	0	0	0	0	0	1.61	0	0
Lhcgr	0	0	0	0	0	0	0	0	0	0	2.93	0	0	0	0	0
Lhfp	32.57	33.13	50.5	26.62	74.29	63.3	36.33	41.76	60.15	55.69	66.06	88.31	94.83	93.02	93.61	97.77
Lhfpl1	1.37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lhfpl2	10.53	9.42	9.2	4.88	8.48	13.39	8.9	7	1.02	6.93	24.31	29.7	32.09	31.24	22.81	42.41
Lhfpl4	8.94	10.22	15.62	11.2	38.36	66.33	116.82	136.51	116.07	211.92	220.76	154.04	155.98	187.41	152.21	159.01
Lhfpl5	0	0	0	0	0	0	0	0	7.19	1.02	0	3.29	2.45	13.62	7.16	4.99
Lhpp	31.27	51.29	11.69	27.25	8.65	11.95	8.6	17.87	15.23	31.43	35.42	35.94	52.8	53.58	53.83	38.49
Lhx1	104.6	2.32	0.23	1.16	26.37	73.5	143.23	165.36	141.82	67.91	39.12	22.02	10.45	10.79	8.6	7.73
